,precision,recall,f1-score,support
Apple___Apple_scab,0.9851694915254238,0.9226190476190477,0.9528688524590164,504.0
Apple___Black_rot,0.9854771784232366,0.9576612903225806,0.9713701431492843,496.0
Apple___Cedar_apple_rust,0.981651376146789,0.9727272727272728,0.9771689497716894,220.0
Apple___healthy,0.9756838905775076,0.9756838905775076,0.9756838905775076,1316.0
Blueberry___healthy,0.965378421900161,0.997504159733777,0.9811783960720131,1202.0
Cherry_(including_sour)___Powdery_mildew,0.9940047961630696,0.9845605700712589,0.9892601431980907,842.0
Cherry_(including_sour)___healthy,0.9852507374631269,0.9766081871345029,0.9809104258443465,684.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8168103448275862,0.9243902439024391,0.8672768878718535,410.0
Corn_(maize)___Common_rust_,0.9947423764458465,0.9926547743966422,0.9936974789915967,953.0
Corn_(maize)___Northern_Leaf_Blight,0.9425133689839572,0.8946700507614214,0.91796875,788.0
Corn_(maize)___healthy,0.9935691318327974,0.9978471474703983,0.9957035445757251,929.0
Grape___Black_rot,0.9529652351738241,0.9872881355932204,0.9698231009365245,944.0
Grape___Esca_(Black_Measles),0.993439550140581,0.957542908762421,0.9751609935602575,1107.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9953379953379954,0.991869918699187,0.9936009307737056,861.0
Grape___healthy,0.9941002949852508,0.9941002949852508,0.9941002949852508,339.0
Orange___Haunglongbing_(Citrus_greening),0.9970400728597449,0.9940976163450624,0.9955666704558372,4405.0
Peach___Bacterial_spot,0.987012987012987,0.9923830250272034,0.9896907216494846,1838.0
Peach___healthy,0.9826989619377162,0.9861111111111112,0.9844020797227037,288.0
"Pepper,_bell___Bacterial_spot",0.9738903394255874,0.9360100376411543,0.9545745361484325,797.0
"Pepper,_bell___healthy",0.9701873935264055,0.9628064243448858,0.9664828171404327,1183.0
Potato___Early_blight,0.987146529562982,0.96,0.973384030418251,800.0
Potato___Late_blight,0.9629156010230179,0.94125,0.9519595448798989,800.0
Potato___healthy,0.9583333333333334,0.7603305785123967,0.847926267281106,121.0
Raspberry___healthy,0.9701986754966887,0.9865319865319865,0.9782971619365609,297.0
Soybean___healthy,0.9861347603989297,0.9955795677799607,0.9908346572161799,4072.0
Squash___Powdery_mildew,0.9898648648648649,0.9979564032697548,0.9938941655359566,1468.0
Strawberry___Leaf_scorch,0.9798882681564246,0.9887260428410372,0.9842873176206509,887.0
Strawberry___healthy,0.9754768392370572,0.9835164835164835,0.9794801641586868,364.0
Tomato___Bacterial_spot,0.9301801801801802,0.9706227967097533,0.9499712478435882,1702.0
Tomato___Early_blight,0.8689248895434463,0.7375,0.7978363759296823,800.0
Tomato___Late_blight,0.9716629381058911,0.8533071381794368,0.9086471408647141,1527.0
Tomato___Leaf_Mold,0.8952020202020202,0.9316688567674113,0.9130714745653574,761.0
Tomato___Septoria_leaf_spot,0.8552295918367347,0.9463655610444601,0.8984924623115578,1417.0
Tomato___Spider_mites Two-spotted_spider_mite,0.8556841388699796,0.9373601789709173,0.894661921708185,1341.0
Tomato___Target_Spot,0.8858490566037736,0.8361531611754229,0.8602840128263857,1123.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.973954763536669,0.9946336910872609,0.9841856169918042,4286.0
Tomato___Tomato_mosaic_virus,0.8926380368098159,0.9732441471571907,0.9312,299.0
Tomato___healthy,0.9765886287625418,0.9175176747839748,0.9461320372620494,1273.0
accuracy,0.9625955252739159,0.9625955252739159,0.9625955252739159,0.9625955252739159
macro avg,0.9574420279266826,0.9503000098829943,0.9529219791377463,43444.0
weighted avg,0.9633192504532055,0.9625955252739159,0.9623702710782835,43444.0
